time	V(9)	V(10)
0.000000000000000e+000	0.000000e+000	0.000000e+000
6.575824084381598e-005	3.683010e-007	-3.683010e-007
6.859621543316469e-005	-1.801769e-006	1.801769e-006
7.143419002251340e-005	-6.822434e-007	6.822434e-007
7.427216461186212e-005	3.726877e-006	-3.726877e-006
7.711013920121083e-005	1.142559e-005	-1.142559e-005
7.994811379055954e-005	2.241390e-005	-2.241390e-005
8.278608837990825e-005	3.669181e-005	-3.669181e-005
8.562406296925696e-005	5.425931e-005	-5.425931e-005
8.965785711029539e-005	1.000577e-004	-1.000577e-004
9.472364242138606e-005	1.889740e-004	-1.889740e-004
1.013255422295082e-004	3.678841e-004	-3.678841e-004
1.103311792731452e-004	7.457777e-004	-7.457777e-004
1.232849725503335e-004	1.597086e-003	-1.597086e-003
1.435042791952137e-004	3.738701e-003	-3.738701e-003
1.790231167084825e-004	1.013339e-002	-1.013339e-002
2.500607917350201e-004	3.291348e-002	-3.291348e-002
3.921361417880952e-004	1.079765e-001	-1.079765e-001
5.559902627510479e-004	2.393533e-001	-2.393533e-001
7.621662583789501e-004	4.708421e-001	-4.708421e-001
1.007404469006505e-003	8.291302e-001	-8.291302e-001
1.325150313760969e-003	1.402615e+000	-1.402615e+000
1.737393183505893e-003	2.276111e+000	-2.276111e+000
2.299588501518563e-003	3.587787e+000	-3.587787e+000
3.013643543064659e-003	5.290701e+000	-5.290701e+000
3.463991320106404e-003	6.319592e+000	-6.319592e+000
3.724243495448486e-003	6.861855e+000	-6.861855e+000
4.023296262875784e-003	7.413168e+000	-7.413168e+000
4.363334690664086e-003	7.945377e+000	-7.945377e+000
4.812475227077395e-003	8.511275e+000	-8.511275e+000
5.266576547079933e-003	8.827056e+000	-8.827056e+000
5.493627207081202e-003	8.890492e+000	-8.890492e+000
5.796361420416227e-003	8.895744e+000	-8.895744e+000
6.401829847086277e-003	8.836831e+000	-8.836831e+000
7.118299337445472e-003	8.749924e+000	-8.749924e+000
8.094861837445472e-003	8.632797e+000	-8.632797e+000
9.071424337445472e-003	8.517134e+000	-8.517134e+000
1.004798683744547e-002	8.445689e+000	-8.445689e+000
1.103980812650797e-002	8.464684e+000	-8.464684e+000
1.125343117338297e-002	8.546455e+000	-8.546455e+000
1.149757179838297e-002	8.683296e+000	-8.683296e+000
1.163461042629117e-002	8.798431e+000	-8.798431e+000
1.177164905419937e-002	8.891926e+000	-8.891926e+000
1.190868768210757e-002	8.963781e+000	-8.963781e+000
1.204572631001577e-002	9.013996e+000	-9.013996e+000
1.218276493792397e-002	9.042570e+000	-9.042570e+000
1.231980356583217e-002	9.049503e+000	-9.049503e+000
1.245684219374037e-002	9.034797e+000	-9.034797e+000
1.265109732440651e-002	9.036592e+000	-9.036592e+000
1.299598324097355e-002	9.038596e+000	-9.038596e+000
1.328989565178772e-002	9.039412e+000	-9.039412e+000
1.359508624445865e-002	9.039576e+000	-9.039576e+000
1.396184433181724e-002	9.039326e+000	-9.039326e+000
1.426474875000635e-002	9.038948e+000	-9.038948e+000
1.468253038778703e-002	9.038343e+000	-9.038343e+000
1.532627716886836e-002	9.037310e+000	-9.037310e+000
1.601230127397451e-002	9.036045e+000	-9.036045e+000
1.660444212913775e-002	9.034733e+000	-9.034733e+000
1.719246026494767e-002	9.033025e+000	-9.033025e+000
1.800409191432854e-002	9.028350e+000	-9.028350e+000
1.898065441432854e-002	9.017441e+000	-9.017441e+000
1.906695240545790e-002	9.013769e+000	-9.013769e+000
1.923954838771662e-002	9.002371e+000	-9.002371e+000
1.944397719131659e-002	9.000238e+000	-9.000238e+000
1.969607253025279e-002	9.016012e+000	-9.016012e+000
1.999801233719234e-002	9.029485e+000	-9.029485e+000
2.022098048694499e-002	9.033290e+000	-9.033290e+000
2.039901047771283e-002	9.035307e+000	-9.035307e+000
2.058996361373885e-002	9.036769e+000	-9.036769e+000
2.092696913059235e-002	9.038697e+000	-9.038697e+000
2.123579001944655e-002	9.039870e+000	-9.039870e+000
2.159662272045216e-002	9.040462e+000	-9.040462e+000
2.231012953509826e-002	9.040497e+000	-9.040497e+000
2.271561901676822e-002	9.040155e+000	-9.040155e+000
2.324838213234913e-002	9.039487e+000	-9.039487e+000
2.380977419100718e-002	9.038709e+000	-9.038709e+000
2.478633669100718e-002	9.037148e+000	-9.037148e+000
2.576289919100718e-002	9.035184e+000	-9.035184e+000
2.673946169100718e-002	9.032463e+000	-9.032463e+000
2.771602419100718e-002	9.028965e+000	-9.028965e+000
2.775127019344274e-002	9.028867e+000	-9.028867e+000
2.796274620805609e-002	9.029567e+000	-9.029567e+000
2.816133953956868e-002	9.031238e+000	-9.031238e+000
2.844927626103243e-002	9.033943e+000	-9.033943e+000
2.876442080063915e-002	9.036527e+000	-9.036527e+000
2.903729240564428e-002	9.038243e+000	-9.038243e+000
2.936854842699047e-002	9.039678e+000	-9.039678e+000
2.974527205690285e-002	9.040557e+000	-9.040557e+000
3.023529497890223e-002	9.040800e+000	-9.040800e+000
3.067970488231180e-002	9.040491e+000	-9.040491e+000
3.107778336056593e-002	9.040030e+000	-9.040030e+000
3.154000237855321e-002	9.039443e+000	-9.039443e+000
3.221782199676898e-002	9.038506e+000	-9.038506e+000
