time	V(1)	V(5)	V(6)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.438058285208223e-005	9.216675e-001	-1.218771e-001	1.218771e-001
2.876116570416446e-005	1.843249e+000	-2.437328e-001	2.437328e-001
4.314174855624669e-005	2.764744e+000	-3.655669e-001	3.655669e-001
5.752233140832892e-005	3.686152e+000	-4.873796e-001	4.873796e-001
7.190291426041114e-005	4.607475e+000	-6.091708e-001	6.091708e-001
8.628349711249338e-005	5.528711e+000	-7.309406e-001	7.309406e-001
1.006640799645756e-004	6.449861e+000	-8.526888e-001	8.526888e-001
2.013271719291551e-004	1.289037e+001	-1.703064e+000	1.703064e+000
4.026533558583142e-004	2.570646e+001	-3.387757e+000	3.387757e+000
8.053057237166323e-004	5.082166e+001	-6.630641e+000	6.630641e+000
1.610610459433269e-003	9.699496e+001	-1.247406e+001	1.247406e+001
2.553077289426827e-003	1.395047e+002	-1.805999e+001	1.805999e+001
3.199496788837032e-003	1.588244e+002	-2.084513e+001	2.084513e+001
3.526661064957645e-003	1.650757e+002	-2.176175e+001	2.176175e+001
3.781833075318770e-003	1.682141e+002	-2.217718e+001	2.217718e+001
4.098490666959413e-003	1.699438e+002	-2.239555e+001	2.239555e+001
4.391322194955459e-003	1.693907e+002	-2.230520e+001	2.230520e+001
4.782308737538590e-003	1.654419e+002	-2.168319e+001	2.168319e+001
5.415664632618656e-003	1.515003e+002	-1.960272e+001	1.960272e+001
6.392227132618656e-003	1.135931e+002	-1.451319e+001	1.451319e+001
7.368789632618656e-003	6.046288e+001	-7.722679e+000	7.722679e+000
8.345352132618656e-003	-7.702641e-001	1.031002e-001	-1.031002e-001
9.321914632618656e-003	-6.190018e+001	7.915381e+000	-7.915381e+000
1.029847713261866e-002	-1.147346e+002	1.466721e+001	-1.466721e+001
1.127503963261866e-002	-1.521929e+002	1.985705e+001	-1.985705e+001
1.168088461086821e-002	-1.619589e+002	2.133024e+001	-2.133024e+001
1.197020778855377e-002	-1.666205e+002	2.197170e+001	-2.197170e+001
1.225090201713161e-002	-1.692510e+002	2.231306e+001	-2.231306e+001
1.256347188834535e-002	-1.699513e+002	2.240284e+001	-2.240284e+001
1.285334864637641e-002	-1.684939e+002	2.217452e+001	-2.217452e+001
1.332470813059964e-002	-1.618496e+002	2.113536e+001	-2.113536e+001
1.408457960929803e-002	-1.405588e+002	1.816910e+001	-1.816910e+001
1.493056468110768e-002	-1.034890e+002	1.340450e+001	-1.340450e+001
1.559770410074932e-002	-6.666890e+001	8.687173e+000	-8.687173e+000
1.620620528568388e-002	-2.936229e+001	3.831971e+000	-3.831971e+000
1.681119046369452e-002	9.257730e+000	-1.211804e+000	1.211804e+000
1.735641992697776e-002	4.370876e+001	-5.649032e+000	5.649032e+000
1.833298242697776e-002	9.990530e+001	-1.276744e+001	1.276744e+001
1.930954492697776e-002	1.427131e+002	-1.849805e+001	1.849805e+001
1.990094340695955e-002	1.596056e+002	-2.096432e+001	2.096432e+001
2.021912303439756e-002	1.654630e+002	-2.181297e+001	2.181297e+001
2.048060235606957e-002	1.684992e+002	-2.222331e+001	2.222331e+001
2.074848444860611e-002	1.699130e+002	-2.240063e+001	2.240063e+001
2.105178748428739e-002	1.694238e+002	-2.230724e+001	2.230724e+001
2.143889117091460e-002	1.655893e+002	-2.170621e+001	2.170621e+001
2.206607808736272e-002	1.519700e+002	-1.966771e+001	1.966771e+001
2.304264058736272e-002	1.143660e+002	-1.461197e+001	1.461197e+001
2.401920308736272e-002	6.143527e+001	-7.846961e+000	7.846961e+000
2.499576558736272e-002	2.713770e-001	-3.002727e-002	3.002727e-002
2.597232808736272e-002	-6.092889e+001	7.791249e+000	-7.791249e+000
2.694889058736272e-002	-1.139638e+002	1.456870e+001	-1.456870e+001
2.792545308736272e-002	-1.517259e+002	1.978934e+001	-1.978934e+001
2.834146252724433e-002	-1.618398e+002	2.131191e+001	-2.131191e+001
2.863232173205974e-002	-1.665624e+002	2.196392e+001	-2.196392e+001
2.891208578197871e-002	-1.692177e+002	2.230984e+001	-2.230984e+001
2.922040419542249e-002	-1.699651e+002	2.240714e+001	-2.240714e+001
2.950416617105045e-002	-1.686258e+002	2.219634e+001	-2.219634e+001
2.996565167621008e-002	-1.623463e+002	2.121099e+001	-2.121099e+001
3.071011198986206e-002	-1.420246e+002	1.836518e+001	-1.836518e+001
3.156135669323441e-002	-1.053035e+002	1.363641e+001	-1.363641e+001
3.223203126837151e-002	-6.857046e+001	8.933814e+000	-8.933814e+000
3.284265917295326e-002	-3.126754e+001	4.080235e+000	-4.080235e+000
3.344995253384299e-002	7.471541e+000	-9.780788e-001	9.780788e-001
3.400187475888226e-002	4.239365e+001	-5.477146e+000	5.477146e+000
3.497843725888226e-002	9.880221e+001	-1.262648e+001	1.262648e+001
3.595499975888226e-002	1.419698e+002	-1.839338e+001	1.839338e+001
3.655943236613488e-002	1.594244e+002	-2.093665e+001	2.093665e+001
3.687971906491987e-002	1.653732e+002	-2.180110e+001	2.180110e+001
3.713971612236758e-002	1.684343e+002	-2.221387e+001	2.221387e+001
3.741346745332059e-002	1.699095e+002	-2.239853e+001	2.239853e+001
3.771782781304191e-002	1.694271e+002	-2.230745e+001	2.230745e+001
3.810453928995003e-002	1.656041e+002	-2.170852e+001	2.170852e+001
