time	V(n002)	V(n005)
0.000000000000000e+000	0.000000e+000	-2.357594e-015
4.464285687154149e-011	5.609987e-008	3.274330e-008
8.928571374308298e-011	1.121997e-007	7.054259e-008
1.339285706146245e-010	1.682996e-007	1.133979e-007
1.785714274861660e-010	2.243995e-007	1.613091e-007
2.232142843577075e-010	2.804994e-007	2.142764e-007
2.678571412292489e-010	3.365992e-007	2.722997e-007
3.124999981007903e-010	3.926991e-007	3.353789e-007
3.226339274584918e-007	4.054444e-004	4.013168e-004
6.449553549188828e-007	8.104744e-004	8.022601e-004
9.672767823792739e-007	1.215483e-003	1.203165e-003
1.289598209839665e-006	1.620470e-003	1.604032e-003
1.611919637300056e-006	2.025435e-003	2.004861e-003
1.934241064760447e-006	2.430378e-003	2.405652e-003
2.256562492220837e-006	2.835300e-003	2.806404e-003
5.604776777935126e-006	7.055715e-003	6.982698e-003
8.952991063649416e-006	1.124526e-002	1.112700e-002
1.230120534936370e-005	1.540395e-002	1.523931e-002
1.564941963507799e-005	1.953176e-002	1.931963e-002
1.899763392079228e-005	2.362871e-002	2.336795e-002
2.234584820650657e-005	2.769479e-002	2.738428e-002
2.569406249222085e-005	3.173001e-002	3.136862e-002
3.169294642079229e-005	3.887272e-002	3.841722e-002
3.769183034936372e-005	4.570290e-002	4.515246e-002
4.369071427793516e-005	5.222053e-002	5.157436e-002
4.968959820650659e-005	5.842563e-002	5.768291e-002
5.568848213507803e-005	6.431818e-002	6.347811e-002
6.168736606364947e-005	6.989820e-002	6.895997e-002
6.768624999222088e-005	7.516568e-002	7.412848e-002
7.954450892079232e-005	8.433826e-002	8.310308e-002
9.140276784936377e-005	9.138983e-002	8.997384e-002
1.032610267779352e-004	9.632039e-002	9.474076e-002
1.151192857065066e-004	9.912994e-002	9.740382e-002
1.269775446350781e-004	9.981847e-002	9.796304e-002
1.388358035636495e-004	9.838600e-002	9.641841e-002
1.506940624922209e-004	9.483252e-002	9.276994e-002
1.583670535636495e-004	9.120864e-002	8.910343e-002
1.660400446350781e-004	8.685844e-002	8.472271e-002
1.737130357065067e-004	8.178191e-002	7.962777e-002
1.813860267779353e-004	7.597904e-002	7.381863e-002
1.890590178493639e-004	6.944985e-002	6.729527e-002
1.967320089207924e-004	6.219433e-002	6.005770e-002
2.044049999922210e-004	5.421248e-002	5.210591e-002
2.090087946350782e-004	4.921859e-002	4.713616e-002
2.136125892779353e-004	4.410399e-002	4.204968e-002
2.182163839207924e-004	3.886868e-002	3.684645e-002
2.228201785636496e-004	3.351266e-002	3.152650e-002
2.274239732065067e-004	2.803594e-002	2.608980e-002
2.320277678493639e-004	2.243851e-002	2.053637e-002
2.366315624922210e-004	1.672037e-002	1.486621e-002
2.383056696350782e-004	1.464038e-002	1.280445e-002
2.399797767779353e-004	1.255622e-002	1.073896e-002
2.416538839207925e-004	1.046789e-002	8.669745e-003
2.433279910636496e-004	8.375399e-003	6.596792e-003
2.450020982065068e-004	6.278737e-003	4.520107e-003
2.466762053493639e-004	4.177908e-003	2.439689e-003
2.483503124922210e-004	2.072910e-003	3.555387e-004
2.504429464207925e-004	-5.611556e-004	-2.251878e-003
2.525355803493639e-004	-3.190298e-003	-4.853806e-003
2.546282142779353e-004	-5.814518e-003	-7.450246e-003
2.567208482065067e-004	-8.433815e-003	-1.004120e-002
2.588134821350782e-004	-1.104819e-002	-1.262666e-002
2.609061160636496e-004	-1.365764e-002	-1.520663e-002
2.629987499922210e-004	-1.626217e-002	-1.778112e-002
2.680210714207925e-004	-2.251160e-002	-2.395578e-002
2.730433928493639e-004	-2.861241e-002	-2.998007e-002
2.780657142779353e-004	-3.456460e-002	-3.585399e-002
2.830880357065067e-004	-4.036818e-002	-4.157754e-002
2.881103571350782e-004	-4.602313e-002	-4.715072e-002
2.931326785636496e-004	-5.152947e-002	-5.257353e-002
2.981549999922211e-004	-5.688719e-002	-5.784597e-002
3.062465178493639e-004	-6.510035e-002	-6.591845e-002
3.143380357065068e-004	-7.247612e-002	-7.315712e-002
3.224295535636497e-004	-7.901449e-002	-7.956197e-002
