time	V(n002)	V(n003)
0.000000000000000e+000	0.000000e+000	4.138481e-014
1.142857135911462e-008	1.436157e-005	2.424162e-006
2.285714271822924e-008	2.872313e-005	5.761334e-006
3.428571407734386e-008	4.308470e-005	1.001152e-005
4.571428543645849e-008	5.744626e-005	1.517471e-005
5.714285679557311e-008	7.180782e-005	2.125092e-005
6.857142815468773e-008	8.616939e-005	2.824013e-005
7.999999951380232e-008	1.005309e-004	3.614236e-005
6.399999961104186e-007	8.042391e-004	3.977750e-004
3.521607138411909e-006	4.435712e-003	2.271574e-003
6.403214280713400e-006	8.049592e-003	4.136362e-003
9.284821423014892e-006	1.164588e-002	5.992139e-003
1.216642856531638e-005	1.522457e-002	7.838906e-003
1.504803570761787e-005	1.878567e-002	9.676662e-003
1.792964284991937e-005	2.232918e-002	1.150541e-002
2.081124999222085e-005	2.585510e-002	1.332514e-002
2.653111606364943e-005	3.280772e-002	1.691362e-002
3.225098213507800e-005	3.950826e-002	2.037225e-002
3.797084820650658e-005	4.595672e-002	2.370102e-002
4.369071427793516e-005	5.215309e-002	2.689995e-002
4.941058034936374e-005	5.809738e-002	2.996903e-002
5.513044642079232e-005	6.378959e-002	3.290825e-002
6.085031249222088e-005	6.922971e-002	3.571763e-002
7.061593749222090e-005	7.773345e-002	4.011001e-002
8.038156249222091e-005	8.486120e-002	4.379263e-002
9.014718749222092e-005	9.061295e-002	4.676549e-002
9.991281249222093e-005	9.498872e-002	4.902860e-002
1.096784374922209e-004	9.798851e-002	5.058194e-002
1.194440624922209e-004	9.961230e-002	5.142552e-002
1.292096874922209e-004	9.986011e-002	5.155934e-002
1.381382589207924e-004	9.850572e-002	5.086580e-002
1.470668303493638e-004	9.603197e-002	4.959443e-002
1.559954017779353e-004	9.243886e-002	4.774521e-002
1.649239732065067e-004	8.772640e-002	4.531816e-002
1.738525446350781e-004	8.189458e-002	4.231326e-002
1.827811160636496e-004	7.494341e-002	3.873052e-002
1.917096874922210e-004	6.687287e-002	3.456995e-002
1.971505357065067e-004	6.156819e-002	3.183479e-002
2.025913839207924e-004	5.604339e-002	2.898588e-002
2.080322321350781e-004	5.029848e-002	2.602321e-002
2.134730803493639e-004	4.433345e-002	2.294679e-002
2.189139285636496e-004	3.814830e-002	1.975660e-002
2.243547767779353e-004	3.174304e-002	1.645266e-002
2.297956249922210e-004	2.511766e-002	1.303496e-002
2.324462946350782e-004	2.187106e-002	1.136012e-002
2.350969642779353e-004	1.860929e-002	9.677412e-003
2.377476339207924e-004	1.533235e-002	7.986825e-003
2.403983035636496e-004	1.204024e-002	6.288364e-003
2.430489732065067e-004	8.732962e-003	4.582030e-003
2.456996428493639e-004	5.410520e-003	2.867822e-003
2.483503124922210e-004	2.072910e-003	1.145740e-003
2.507219642779353e-004	-9.138316e-004	-3.953472e-004
2.530936160636496e-004	-3.893166e-003	-1.932651e-003
2.554652678493639e-004	-6.865092e-003	-3.466171e-003
2.578369196350782e-004	-9.829611e-003	-4.995907e-003
2.602085714207925e-004	-1.278672e-002	-6.521860e-003
2.625802232065067e-004	-1.573643e-002	-8.044028e-003
2.649518749922210e-004	-1.867872e-002	-9.562413e-003
2.701137053493639e-004	-2.507036e-002	-1.286098e-002
2.752755357065067e-004	-3.129321e-002	-1.607264e-002
2.804373660636496e-004	-3.734729e-002	-1.919737e-002
2.855991964207925e-004	-4.323258e-002	-2.223519e-002
2.907610267779353e-004	-4.894909e-002	-2.518609e-002
2.959228571350782e-004	-5.449682e-002	-2.805007e-002
3.010846874922211e-004	-5.987577e-002	-3.082713e-002
3.094552232065068e-004	-6.811879e-002	-3.508341e-002
3.178257589207925e-004	-7.543683e-002	-3.886271e-002
3.261962946350782e-004	-8.182988e-002	-4.216503e-002
3.345668303493639e-004	-8.729794e-002	-4.499036e-002
3.429373660636497e-004	-9.184102e-002	-4.733871e-002
3.513079017779354e-004	-9.545911e-002	-4.921007e-002
3.596784374922211e-004	-9.815221e-002	-5.060445e-002
3.702811160636497e-004	-9.970070e-002	-5.140986e-002
3.808837946350783e-004	-9.957524e-002	-5.135138e-002
3.914864732065069e-004	-9.777581e-002	-5.042900e-002
4.020891517779354e-004	-9.430243e-002	-4.864273e-002
4.126918303493640e-004	-8.915508e-002	-4.599256e-002
4.232945089207926e-004	-8.233377e-002	-4.247849e-002
4.338971874922212e-004	-7.383850e-002	-3.810053e-002
4.397565624922212e-004	-6.859574e-002	-3.539801e-002
4.456159374922212e-004	-6.306091e-002	-3.254457e-002
4.514753124922212e-004	-5.723403e-002	-2.954022e-002
4.573346874922212e-004	-5.111508e-002	-2.638495e-002
4.631940624922212e-004	-4.470407e-002	-2.307876e-002
4.690534374922212e-004	-3.800101e-002	-1.962166e-002
4.749128124922212e-004	-3.100588e-002	-1.601364e-002
4.781215178493641e-004	-2.713219e-002	-1.401550e-002
4.813302232065069e-004	-2.323039e-002	-1.200277e-002
4.845389285636498e-004	-1.930047e-002	-9.975449e-003
4.877476339207926e-004	-1.534243e-002	-7.933544e-003
4.909563392779355e-004	-1.135628e-002	-5.877053e-003
4.941650446350784e-004	-7.342021e-003	-3.805975e-003
4.973737499922212e-004	-3.299644e-003	-1.720310e-003
4.990478571350783e-004	-1.194144e-003	-6.339434e-004
5.007219642779355e-004	9.095599e-004	4.515181e-004
5.023960714207926e-004	3.011467e-003	1.536075e-003
5.040701785636498e-004	5.111577e-003	2.619727e-003
5.057442857065069e-004	7.209890e-003	3.702474e-003
