time	V(n003)
0.000000000000000e+000	2.676694e-015
9.765624940649698e-012	3.895578e-008
7.812499952519758e-011	3.040635e-007
3.124999981007903e-010	9.140813e-007
6.249999962015806e-010	5.739165e-007
1.249999992403161e-009	-4.819480e-006
2.499999984806323e-009	-3.236263e-005
4.999999969612645e-009	-1.306457e-004
9.999999939225290e-009	-4.021180e-004
1.999999987845058e-008	-1.023432e-003
7.999999951380232e-008	-4.877705e-003
1.276071427599034e-006	-8.184624e-002
2.472142855684266e-006	-1.588311e-001
3.668214283769498e-006	-2.358324e-001
4.864285711854730e-006	-3.128500e-001
6.060357139939961e-006	-3.898840e-001
7.256428568025193e-006	-4.669343e-001
8.452499996110422e-006	-5.440010e-001
1.207973213896757e-005	-7.784909e-001
1.570696428182472e-005	-1.010574e+000
1.933419642468186e-005	-1.240250e+000
2.296142856753901e-005	-1.467519e+000
2.658866071039615e-005	-1.692380e+000
3.021589285325330e-005	-1.914835e+000
3.384312499611044e-005	-2.134883e+000
4.012102678182474e-005	-2.508632e+000
4.639892856753903e-005	-2.861634e+000
5.267683035325331e-005	-3.193889e+000
5.895473213896761e-005	-3.505397e+000
6.523263392468190e-005	-3.796158e+000
7.151053571039619e-005	-4.066173e+000
7.778843749611047e-005	-4.315441e+000
9.222761160325335e-005	-4.773412e+000
1.066667857103962e-004	-5.063203e+000
1.211059598175391e-004	-5.184812e+000
1.355451339246820e-004	-5.138241e+000
1.499843080318249e-004	-4.923490e+000
1.644234821389677e-004	-4.540557e+000
1.788626562461106e-004	-3.989444e+000
1.847220312461106e-004	-3.726623e+000
1.905814062461106e-004	-3.447762e+000
1.964407812461106e-004	-3.152862e+000
2.023001562461106e-004	-2.841922e+000
2.081595312461106e-004	-2.514943e+000
2.140189062461106e-004	-2.171924e+000
2.198782812461106e-004	-1.812865e+000
2.231567410675392e-004	-1.609504e+000
2.264352008889677e-004	-1.404666e+000
2.297136607103963e-004	-1.198350e+000
2.329921205318249e-004	-9.905575e-001
2.362705803532535e-004	-7.812877e-001
2.395490401746820e-004	-5.705407e-001
2.428274999961106e-004	-3.583165e-001
2.438040624961106e-004	-2.953447e-001
2.447806249961106e-004	-2.324071e-001
2.457571874961106e-004	-1.695040e-001
2.467337499961106e-004	-1.066352e-001
2.477103124961106e-004	-4.380071e-002
2.486868749961106e-004	1.899938e-002
2.496634374961106e-004	8.176510e-002
2.521745982103963e-004	2.432100e-001
2.546857589246820e-004	4.034957e-001
2.571969196389677e-004	5.626222e-001
2.597080803532534e-004	7.205895e-001
2.622192410675392e-004	8.773977e-001
2.647304017818249e-004	1.033047e+000
2.672415624961106e-004	1.187537e+000
2.721243749961106e-004	1.485122e+000
2.770071874961106e-004	1.770733e+000
2.818899999961106e-004	2.044368e+000
2.867728124961106e-004	2.306030e+000
2.916556249961106e-004	2.555716e+000
2.965384374961106e-004	2.793428e+000
3.014212499961106e-004	3.019165e+000
3.056065178532535e-004	3.197373e+000
3.097917857103963e-004	3.361188e+000
3.139770535675392e-004	3.510609e+000
3.181623214246821e-004	3.645635e+000
3.223475892818250e-004	3.766268e+000
3.265328571389678e-004	3.872506e+000
3.307181249961107e-004	3.964351e+000
3.330200223175392e-004	4.007874e+000
3.353219196389678e-004	4.047695e+000
3.376238169603964e-004	4.083812e+000
3.399257142818250e-004	4.116227e+000
3.422276116032535e-004	4.144938e+000
3.445295089246821e-004	4.169946e+000
3.468314062461107e-004	4.191251e+000
3.487845312461107e-004	4.207202e+000
3.507376562461107e-004	4.221593e+000
3.526907812461107e-004	4.234423e+000
3.546439062461107e-004	4.245692e+000
3.565970312461107e-004	4.255401e+000
3.585501562461107e-004	4.263549e+000
3.605032812461107e-004	4.270135e+000
3.645490401746821e-004	4.280643e+000
3.685947991032535e-004	4.287341e+000
3.726405580318250e-004	4.290231e+000
3.766863169603964e-004	4.289312e+000
3.807320758889679e-004	4.284583e+000
3.847778348175393e-004	4.276046e+000
3.888235937461107e-004	4.263700e+000
3.907767187461107e-004	4.256175e+000
3.927298437461107e-004	4.247063e+000
3.946829687461107e-004	4.236364e+000
3.966360937461107e-004	4.224077e+000
3.985892187461107e-004	4.210203e+000
4.005423437461107e-004	4.194742e+000
4.024954687461107e-004	4.177694e+000
4.047973660675393e-004	4.155042e+000
4.070992633889679e-004	4.128655e+000
4.094011607103964e-004	4.098532e+000
4.117030580318250e-004	4.064674e+000
4.140049553532536e-004	4.027079e+000
4.163068526746822e-004	3.985749e+000
4.186087499961107e-004	3.940683e+000
4.227940178532536e-004	3.845959e+000
4.269792857103964e-004	3.736920e+000
4.311645535675393e-004	3.613567e+000
4.353498214246822e-004	3.475898e+000
4.395350892818251e-004	3.323914e+000
4.437203571389679e-004	3.157615e+000
4.479056249961108e-004	2.977001e+000
4.527186830318251e-004	2.752164e+000
4.575317410675393e-004	2.515843e+000
4.623447991032536e-004	2.268038e+000
4.671578571389679e-004	2.008749e+000
4.719709151746822e-004	1.737975e+000
4.767839732103965e-004	1.455718e+000
4.815970312461108e-004	1.161976e+000
4.829223660675393e-004	1.080737e+000
4.842477008889678e-004	9.990924e-001
4.855730357103964e-004	9.170434e-001
4.868983705318249e-004	8.345899e-001
4.882237053532535e-004	7.517317e-001
4.895490401746820e-004	6.684689e-001
4.908743749961105e-004	5.848014e-001
4.913626562461105e-004	5.539247e-001
4.924787276746818e-004	4.831594e-001
4.935947991032531e-004	4.122447e-001
4.947108705318244e-004	3.411808e-001
4.958269419603957e-004	2.699676e-001
4.969430133889670e-004	1.986051e-001
4.980590848175383e-004	1.270934e-001
4.991751562461096e-004	5.543227e-002
4.996634374961096e-004	2.407080e-002
5.000000000000000e-004	2.446314e-003
