time	V(n003)	V(n004)
0.000000000000000e+000	2.676694e-015	0.000000e+000
4.882812470324849e-012	4.751952e-009	6.135923e-009
1.953124988129940e-011	1.935623e-008	2.454369e-008
7.310267812714919e-010	-3.972005e-007	9.186354e-007
1.442522312661685e-009	-2.231128e-006	1.812727e-006
2.154017844051877e-009	-5.482427e-006	2.706819e-006
2.865513375442070e-009	-1.015110e-005	3.600910e-006
3.577008906832262e-009	-1.623714e-005	4.495002e-006
4.288504438222455e-009	-2.374055e-005	5.389094e-006
4.999999969612645e-009	-3.266133e-005	6.283185e-006
9.999999939225290e-009	-1.005293e-004	1.256637e-005
1.999999987845058e-008	-2.558568e-004	2.513274e-005
1.991941963625876e-006	-3.198996e-002	2.506675e-003
3.963883927373302e-006	-6.366418e-002	4.982888e-003
5.935825891120728e-006	-9.527853e-002	7.453771e-003
7.907767854868153e-006	-1.268330e-001	9.919324e-003
9.879709818615579e-006	-1.583276e-001	1.237955e-002
1.185165178236301e-005	-1.897623e-001	1.483444e-002
1.382359374611043e-005	-2.211372e-001	1.728401e-002
1.619524553182472e-005	-2.587238e-001	2.021773e-002
1.856689731753900e-005	-2.960061e-001	2.312710e-002
2.093854910325329e-005	-3.329841e-001	2.601212e-002
2.331020088896758e-005	-3.696579e-001	2.887279e-002
2.568185267468187e-005	-4.060273e-001	3.170911e-002
2.805350446039616e-005	-4.420925e-001	3.452107e-002
3.042515624611044e-005	-4.778534e-001	3.730868e-002
3.572649553182473e-005	-5.568508e-001	4.346358e-002
4.102783481753902e-005	-6.325679e-001	4.936356e-002
4.632917410325331e-005	-7.050049e-001	5.500863e-002
5.163051338896760e-005	-7.741616e-001	6.039879e-002
5.693185267468189e-005	-8.400381e-001	6.553404e-002
6.223319196039619e-005	-9.026343e-001	7.041437e-002
6.753453124611046e-005	-9.619503e-001	7.503980e-002
7.723040178182476e-005	-1.059680e+000	8.267062e-002
8.692627231753906e-005	-1.139247e+000	8.890576e-002
9.662214285325335e-005	-1.200649e+000	9.374522e-002
1.063180133889677e-004	-1.243888e+000	9.718901e-002
1.160138839246820e-004	-1.268962e+000	9.923712e-002
1.257097544603962e-004	-1.275873e+000	9.988955e-002
1.354056249961105e-004	-1.264620e+000	9.914630e-002
1.434273883889677e-004	-1.238240e+000	9.722310e-002
1.514491517818248e-004	-1.200424e+000	9.441088e-002
1.594709151746820e-004	-1.151171e+000	9.070965e-002
1.674926785675391e-004	-1.090483e+000	8.611939e-002
1.755144419603963e-004	-1.018359e+000	8.064012e-002
1.835362053532534e-004	-9.347984e-001	7.427182e-002
1.915579687461106e-004	-8.398020e-001	6.701451e-002
1.962315178532534e-004	-7.808767e-001	6.249948e-002
2.009050669603963e-004	-7.198097e-001	5.781113e-002
2.055786160675392e-004	-6.566009e-001	5.294945e-002
2.102521651746820e-004	-5.912504e-001	4.791444e-002
2.149257142818249e-004	-5.237582e-001	4.270612e-002
2.195992633889677e-004	-4.541242e-001	3.732446e-002
2.242728124961106e-004	-3.823484e-001	3.176948e-002
2.259469196389677e-004	-3.564925e-001	2.976560e-002
2.276210267818249e-004	-3.305121e-001	2.775078e-002
2.292951339246820e-004	-3.044073e-001	2.572503e-002
2.309692410675392e-004	-2.781780e-001	2.368835e-002
2.326433482103963e-004	-2.518242e-001	2.164075e-002
2.343174553532535e-004	-2.253459e-001	1.958221e-002
2.359915624961106e-004	-1.987432e-001	1.751274e-002
2.377354241032535e-004	-1.709412e-001	1.534856e-002
2.394792857103963e-004	-1.430972e-001	1.317962e-002
2.412231473175392e-004	-1.152111e-001	1.100592e-002
2.429670089246820e-004	-8.728299e-002	8.827462e-003
2.447108705318249e-004	-5.931286e-002	6.644241e-003
2.464547321389677e-004	-3.130071e-002	4.456261e-003
2.481985937461106e-004	-3.246521e-003	2.263521e-003
2.498727008889677e-004	2.367749e-002	1.576439e-004
2.515468080318249e-004	5.055424e-002	-1.945978e-003
2.532209151746820e-004	7.738373e-002	-4.047345e-003
2.548950223175391e-004	1.041660e-001	-6.146458e-003
2.565691294603963e-004	1.309009e-001	-8.243315e-003
2.582432366032534e-004	1.575887e-001	-1.033792e-002
2.599173437461106e-004	1.842291e-001	-1.243027e-002
2.645908928532535e-004	2.586124e-001	-1.828108e-002
2.692644419603963e-004	3.314400e-001	-2.402052e-002
2.739379910675392e-004	4.027118e-001	-2.964858e-002
2.786115401746821e-004	4.724279e-001	-3.516526e-002
2.832850892818249e-004	5.405883e-001	-4.057057e-002
2.879586383889678e-004	6.071930e-001	-4.586450e-002
2.926321874961106e-004	6.722420e-001	-5.104705e-002
3.002354241032535e-004	7.736889e-001	-5.916413e-002
3.078386607103963e-004	8.662634e-001	-6.659079e-002
3.154418973175393e-004	9.499654e-001	-7.332703e-002
3.230451339246821e-004	1.024795e+000	-7.937284e-002
3.306483705318250e-004	1.090752e+000	-8.472823e-002
3.382516071389678e-004	1.147837e+000	-8.939319e-002
3.458548437461107e-004	1.196049e+000	-9.336773e-002
3.579921205318250e-004	1.247272e+000	-9.763906e-002
3.701293973175393e-004	1.270725e+000	-9.967833e-002
3.822666741032536e-004	1.266407e+000	-9.948554e-002
3.944039508889679e-004	1.234320e+000	-9.706070e-002
4.065412276746822e-004	1.174464e+000	-9.240380e-002
4.186785044603965e-004	1.086837e+000	-8.551485e-002
4.308157812461108e-004	9.714403e-001	-7.639384e-002
4.369541741032536e-004	9.044447e-001	-7.110203e-002
4.430925669603965e-004	8.331585e-001	-6.547687e-002
4.492309598175394e-004	7.575816e-001	-5.951836e-002
4.553693526746822e-004	6.777141e-001	-5.322648e-002
4.615077455318251e-004	5.935559e-001	-4.660124e-002
4.676461383889679e-004	5.051072e-001	-3.964264e-002
4.737845312461108e-004	4.123677e-001	-3.235069e-002
4.762259374961107e-004	3.751255e-001	-2.942592e-002
4.786673437461107e-004	3.376034e-001	-2.648044e-002
4.811087499961107e-004	2.998016e-001	-2.351426e-002
4.835501562461106e-004	2.617200e-001	-2.052738e-002
4.859915624961106e-004	2.233586e-001	-1.751979e-002
4.884329687461106e-004	1.847175e-001	-1.449149e-002
4.908743749961105e-004	1.457966e-001	-1.144248e-002
4.913626562461105e-004	1.380108e-001	-1.083271e-002
4.996634374961096e-004	5.003523e-003	-4.229356e-004
5.000000000000000e-004	-4.038886e-004	-2.449294e-017
