time	V(9)	V(10)
0.000000000000000e+000	0.000000e+000	0.000000e+000
6.575824473698022e-005	4.215146e-007	-4.215146e-007
6.859622086722032e-005	-2.061733e-006	2.061733e-006
7.143419699746043e-005	-7.804430e-007	7.804430e-007
7.427217312770054e-005	4.265384e-006	-4.265384e-006
7.711014925794064e-005	1.307575e-005	-1.307575e-005
7.994812538818074e-005	2.565065e-005	-2.565065e-005
8.278610151842084e-005	4.199009e-005	-4.199009e-005
8.562407764866094e-005	6.209406e-005	-6.209406e-005
8.965787888949456e-005	1.145041e-004	-1.145041e-004
9.472367717962174e-005	2.162554e-004	-2.162554e-004
1.013256026371821e-004	4.209895e-004	-4.209895e-004
1.103312958781322e-004	8.534259e-004	-8.534259e-004
1.232852279610871e-004	1.827605e-003	-1.827605e-003
1.435049565790627e-004	4.278347e-003	-4.278347e-003
1.790255387438341e-004	1.159626e-002	-1.159626e-002
2.500667030733770e-004	3.766485e-002	-3.766485e-002
3.921490317324629e-004	1.232434e-001	-1.232434e-001
5.517471664650336e-004	2.687128e-001	-2.687128e-001
7.542155023748662e-004	5.266182e-001	-5.266182e-001
9.944704585765729e-004	9.245079e-001	-9.245079e-001
1.308722097071931e-003	1.568202e+000	-1.568202e+000
1.717826012170857e-003	2.554300e+000	-2.554300e+000
2.279306464934039e-003	4.049339e+000	-4.049339e+000
2.986961358177743e-003	5.980299e+000	-5.980299e+000
3.455620073217387e-003	7.207746e+000	-7.207746e+000
3.717943824328128e-003	7.834837e+000	-7.834837e+000
4.015642181462861e-003	8.464034e+000	-8.464034e+000
4.360482406002274e-003	9.083035e+000	-9.083035e+000
4.807479576704354e-003	9.729418e+000	-9.729418e+000
4.891662298964727e-003	9.821361e+000	-9.821361e+000
4.975845021225101e-003	9.894682e+000	-9.894682e+000
5.060027743485475e-003	9.949382e+000	-9.949382e+000
5.144210465745849e-003	9.985461e+000	-9.985461e+000
5.228393188006222e-003	1.000292e+001	-1.000292e+001
5.312575910266596e-003	1.000176e+001	-1.000176e+001
5.396758632526970e-003	9.981971e+000	-9.981971e+000
5.547849243205916e-003	9.982825e+000	-9.982825e+000
5.716610303751626e-003	9.982937e+000	-9.982937e+000
5.885214548538706e-003	9.982482e+000	-9.982482e+000
6.049319380456086e-003	9.981778e+000	-9.981778e+000
6.237184685196626e-003	9.980766e+000	-9.980766e+000
6.612915294677706e-003	9.976944e+000	-9.976944e+000
7.250848968361021e-003	9.959066e+000	-9.959066e+000
7.484211249604193e-003	9.939590e+000	-9.939590e+000
7.795317262814256e-003	9.898226e+000	-9.898226e+000
8.017251200106176e-003	9.867039e+000	-9.867039e+000
8.290537308406364e-003	9.828800e+000	-9.828800e+000
8.837109525006739e-003	9.752868e+000	-9.752868e+000
9.813672025006739e-003	9.634884e+000	-9.634884e+000
1.079023452500674e-002	9.551464e+000	-9.551464e+000
1.091809533686685e-002	9.580264e+000	-9.580264e+000
1.104595614872695e-002	9.619464e+000	-9.619464e+000
1.117381696058706e-002	9.669064e+000	-9.669064e+000
1.130167777244717e-002	9.729063e+000	-9.729063e+000
1.142953858430728e-002	9.799462e+000	-9.799462e+000
1.155739939616738e-002	9.880260e+000	-9.880260e+000
1.168526020802749e-002	9.971458e+000	-9.971458e+000
1.187180844486280e-002	9.978787e+000	-9.978787e+000
1.205835668169810e-002	9.984664e+000	-9.984664e+000
1.224490491853341e-002	9.989090e+000	-9.989090e+000
1.243145315536871e-002	9.992063e+000	-9.992063e+000
1.261800139220401e-002	9.993586e+000	-9.993586e+000
1.280454962903932e-002	9.993656e+000	-9.993656e+000
1.299109786587462e-002	9.992275e+000	-9.992275e+000
1.342922474741935e-002	9.993005e+000	-9.993005e+000
1.399894861357864e-002	9.992972e+000	-9.992972e+000
1.451968361216452e-002	9.992481e+000	-9.992481e+000
1.501635647377704e-002	9.991867e+000	-9.991867e+000
1.563684395321576e-002	9.991047e+000	-9.991047e+000
1.629438749312727e-002	9.990114e+000	-9.990114e+000
1.682678892920857e-002	9.989286e+000	-9.989286e+000
1.734922693433876e-002	9.988359e+000	-9.988359e+000
1.832578943433876e-002	9.986352e+000	-9.986352e+000
1.930235193433876e-002	9.984148e+000	-9.984148e+000
1.934312651116380e-002	9.984089e+000	-9.984089e+000
1.958777397211406e-002	9.984683e+000	-9.984683e+000
1.980565346495816e-002	9.985934e+000	-9.985934e+000
2.011691076214966e-002	9.988048e+000	-9.988048e+000
2.044617024096866e-002	9.990161e+000	-9.990161e+000
2.070308956089050e-002	9.991525e+000	-9.991525e+000
2.103489125832314e-002	9.992822e+000	-9.992822e+000
2.141141200455797e-002	9.993650e+000	-9.993650e+000
2.195661441738575e-002	9.993896e+000	-9.993896e+000
2.245242111968489e-002	9.993555e+000	-9.993555e+000
2.289607099837639e-002	9.993063e+000	-9.993063e+000
2.338583012610774e-002	9.992482e+000	-9.992482e+000
2.436239262610774e-002	9.991230e+000	-9.991230e+000
2.533895512610774e-002	9.989824e+000	-9.989824e+000
2.631551762610774e-002	9.988153e+000	-9.988153e+000
2.729208012610774e-002	9.986221e+000	-9.986221e+000
2.767929314930276e-002	9.985437e+000	-9.985437e+000
2.776874938315247e-002	9.985414e+000	-9.985414e+000
2.811422717990281e-002	9.986679e+000	-9.986679e+000
2.846200309852126e-002	9.988670e+000	-9.988670e+000
2.878869797646673e-002	9.990547e+000	-9.990547e+000
2.906185980018951e-002	9.991885e+000	-9.991885e+000
