time	V(9)	V(10)
0.000000000000000e+000	0.000000e+000	0.000000e+000
6.575811134472001e-005	7.402905e-007	-7.402905e-007
6.859603448962472e-005	-3.623883e-006	3.623883e-006
7.143395763452942e-005	-1.373822e-006	1.373822e-006
7.427188077943412e-005	7.490474e-006	-7.490474e-006
7.710980392433883e-005	2.296900e-005	-2.296900e-005
7.994772706924353e-005	4.506177e-005	-4.506177e-005
8.278565021414822e-005	7.376877e-005	-7.376877e-005
8.562357335905292e-005	1.090900e-004	-1.090900e-004
8.965713025712022e-005	2.011765e-004	-2.011765e-004
9.472248172778024e-005	3.799626e-004	-3.799626e-004
1.013235239381541e-004	7.396984e-004	-7.396984e-004
1.103272816571806e-004	1.499490e-003	-1.499490e-003
1.232764328902659e-004	3.210856e-003	-3.210856e-003
1.434816317075099e-004	7.514071e-003	-7.514071e-003
1.789422142273807e-004	2.035058e-002	-2.035058e-002
2.498633792671223e-004	6.609324e-002	-6.609324e-002
3.917057093466057e-004	2.134839e-001	-2.134839e-001
5.294803168496328e-004	4.271050e-001	-4.271050e-001
7.127679778127808e-004	8.204786e-001	-8.204786e-001
9.280917433888365e-004	1.419191e+000	-1.419191e+000
1.222894305891379e-003	2.440725e+000	-2.440725e+000
1.612681031972664e-003	4.053726e+000	-4.053726e+000
2.166345126541277e-003	6.634532e+000	-6.634532e+000
2.848868947801008e-003	9.968470e+000	-9.968470e+000
3.071808101594563e-003	9.982501e+000	-9.982501e+000
3.294747255388118e-003	9.993516e+000	-9.993516e+000
3.517686409181672e-003	1.000152e+001	-1.000152e+001
3.740625562975227e-003	1.000650e+001	-1.000650e+001
3.963564716768782e-003	1.000847e+001	-1.000847e+001
4.186503870562336e-003	1.000742e+001	-1.000742e+001
4.409443024355890e-003	1.000336e+001	-1.000336e+001
4.770058041204185e-003	1.000471e+001	-1.000471e+001
5.367616775942995e-003	1.000592e+001	-1.000592e+001
6.035344963689466e-003	1.000628e+001	-1.000628e+001
6.650232796512928e-003	1.000614e+001	-1.000614e+001
7.397496014941434e-003	1.000582e+001	-1.000582e+001
