time	V(7)	V(8)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.797695920112127e-006	-2.453486e-014	2.453486e-014
3.595391840224255e-006	-2.086019e-014	2.086019e-014
5.393087760336383e-006	1.102400e-014	-1.102400e-014
7.190783680448510e-006	7.111772e-014	-7.111772e-014
8.988479600560637e-006	1.594210e-013	-1.594210e-013
1.078617552067277e-005	2.759337e-013	-2.759337e-013
1.258387144078489e-005	4.206560e-013	-4.206560e-013
2.516675488157082e-005	4.458252e-012	-4.458252e-012
3.045765193856616e-005	1.267150e-011	-1.267150e-011
3.403006728106569e-005	2.951491e-011	-2.951491e-011
3.621048059682249e-005	5.245888e-011	-5.245888e-011
3.932287694755620e-005	1.360939e-010	-1.360939e-010
4.105589653387722e-005	2.372155e-010	-2.372155e-010
4.263660953672742e-005	3.958310e-010	-3.958310e-010
4.434108415245858e-005	6.884607e-010	-6.884607e-010
4.594654664267335e-005	1.162393e-009	-1.162393e-009
4.762535522322122e-005	2.010725e-009	-2.010725e-009
4.924436944380871e-005	3.414758e-009	-3.414758e-009
5.090799134489148e-005	5.883943e-009	-5.883943e-009
5.253592098759453e-005	1.002568e-008	-1.002568e-008
5.419127200819150e-005	1.723278e-008	-1.723278e-008
5.582562345245520e-005	2.942019e-008	-2.942019e-008
5.747742606212060e-005	5.049199e-008	-5.049199e-008
5.911785405968703e-005	8.629761e-008	-8.629761e-008
6.077112432275769e-005	1.479590e-007	-1.479590e-007
6.242121436284172e-005	2.530251e-007	-2.530251e-007
6.408546960975842e-005	4.334993e-007	-4.334993e-007
6.575820493307390e-005	7.415041e-007	-7.415041e-007
6.745689915325255e-005	1.269959e-006	-1.269959e-006
6.918823627581174e-005	2.173997e-006	-2.173997e-006
7.097855302836957e-005	3.729392e-006	-3.729392e-006
7.285314667447991e-005	6.411508e-006	-6.411508e-006
7.485747150037330e-005	1.108084e-005	-1.108084e-005
7.704475428920422e-005	1.928276e-005	-1.928276e-005
7.949356315362210e-005	3.390139e-005	-3.390139e-005
8.230466094274056e-005	6.035510e-005	-6.035510e-005
8.562392746984683e-005	1.091815e-004	-1.091815e-004
8.965765604397651e-005	2.013189e-004	-2.013189e-004
9.472332148325664e-005	3.801862e-004	-3.801862e-004
1.013249843818376e-004	7.400601e-004	-7.400601e-004
1.103301023390851e-004	1.500124e-003	-1.500124e-003
1.232826134855353e-004	3.212210e-003	-3.212210e-003
1.434980227862851e-004	7.518521e-003	-7.518521e-003
1.790007528642224e-004	2.037294e-002	-2.037294e-002
2.500062130200968e-004	6.616783e-002	-6.616783e-002
3.920171333318458e-004	2.262485e-001	-2.262485e-001
6.270124148335719e-004	6.482921e-001	-6.482921e-001
9.113955295885585e-004	1.393959e+000	-1.393959e+000
1.302647412840959e-003	2.758736e+000	-2.758736e+000
1.772602006266216e-003	4.750912e+000	-4.750912e+000
2.377070506320243e-003	7.601618e+000	-7.601618e+000
3.083152504404024e-003	1.099988e+001	-1.099988e+001
3.475133215616677e-003	1.280084e+001	-1.280084e+001
3.732632387895783e-003	1.387985e+001	-1.387985e+001
4.033495712198941e-003	1.499934e+001	-1.499934e+001
4.367134345554285e-003	1.605379e+001	-1.605379e+001
4.742972035931977e-003	1.693250e+001	-1.693250e+001
5.352233380584177e-003	1.770705e+001	-1.770705e+001
6.322592476515654e-003	1.807119e+001	-1.807119e+001
7.299154976515654e-003	1.800356e+001	-1.800356e+001
8.275717476515655e-003	1.782860e+001	-1.782860e+001
9.252279976515655e-003	1.765534e+001	-1.765534e+001
1.022884247651566e-002	1.757672e+001	-1.757672e+001
1.120540497651566e-002	1.768834e+001	-1.768834e+001
1.122066376557816e-002	1.769482e+001	-1.769482e+001
1.125118134370316e-002	1.771517e+001	-1.771517e+001
1.131221649995316e-002	1.776136e+001	-1.776136e+001
1.143428681245316e-002	1.787258e+001	-1.787258e+001
1.167842743745316e-002	1.814314e+001	-1.814314e+001
1.216670868745316e-002	1.875297e+001	-1.875297e+001
1.241948714599136e-002	1.906985e+001	-1.906985e+001
1.272006709688972e-002	1.939690e+001	-1.939690e+001
1.310818076708421e-002	1.966533e+001	-1.966533e+001
1.373697277552712e-002	1.978541e+001	-1.978541e+001
1.471353527552712e-002	1.966725e+001	-1.966725e+001
1.546314138792355e-002	1.952024e+001	-1.952024e+001
1.607113746305525e-002	1.940187e+001	-1.940187e+001
1.668116998580847e-002	1.928386e+001	-1.928386e+001
1.723929391582818e-002	1.917663e+001	-1.917663e+001
1.821462408782988e-002	1.899069e+001	-1.899069e+001
1.919118658782988e-002	1.887428e+001	-1.887428e+001
1.985501096009693e-002	1.893310e+001	-1.893310e+001
1.996136803457452e-002	1.898303e+001	-1.898303e+001
2.017408218352970e-002	1.914950e+001	-1.914950e+001
2.059951048144006e-002	1.952246e+001	-1.952246e+001
2.095180062021275e-002	1.982161e+001	-1.982161e+001
