time	V(7)	V(8)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.797695920112127e-006	-2.453644e-014	2.453644e-014
3.595391840224255e-006	-2.086157e-014	2.086157e-014
5.393087760336383e-006	1.102462e-014	-1.102462e-014
7.190783680448510e-006	7.112212e-014	-7.112212e-014
8.988479600560637e-006	1.594309e-013	-1.594309e-013
1.078617552067277e-005	2.759511e-013	-2.759511e-013
1.258387144078489e-005	4.206825e-013	-4.206825e-013
2.516675488157082e-005	4.458437e-012	-4.458437e-012
3.045759030280847e-005	1.267176e-011	-1.267176e-011
3.402998234514641e-005	2.951525e-011	-2.951525e-011
3.621038483229589e-005	5.245921e-011	-5.245921e-011
3.932277941491997e-005	1.360943e-010	-1.360943e-010
4.105580099255388e-005	2.372161e-010	-2.372161e-010
4.263651538479783e-005	3.958318e-010	-3.958318e-010
4.434099136160501e-005	6.884620e-010	-6.884620e-010
4.594645455055737e-005	1.162395e-009	-1.162395e-009
4.762526381424776e-005	2.010729e-009	-2.010729e-009
4.924427830620537e-005	3.414764e-009	-3.414764e-009
5.090790052435987e-005	5.883953e-009	-5.883953e-009
5.253583023442193e-005	1.002569e-008	-1.002569e-008
5.419118137978832e-005	1.723281e-008	-1.723281e-008
5.582553277835501e-005	2.942024e-008	-2.942024e-008
5.747733536604335e-005	5.049207e-008	-5.049207e-008
5.911776317955008e-005	8.629775e-008	-8.629775e-008
6.077103318613340e-005	1.479593e-007	-1.479593e-007
6.242112270651488e-005	2.530255e-007	-2.530255e-007
6.408537711687757e-005	4.335000e-007	-4.335000e-007
6.575811098954037e-005	7.415054e-007	-7.415054e-007
6.745680282325251e-005	1.269961e-006	-1.269961e-006
6.918813601628770e-005	2.174001e-006	-2.174001e-006
7.097844645187770e-005	3.729397e-006	-3.729397e-006
7.285303009941370e-005	6.411516e-006	-6.411516e-006
7.485733931002103e-005	1.108085e-005	-1.108085e-005
7.704459782588484e-005	1.928276e-005	-1.928276e-005
7.949336869009800e-005	3.390132e-005	-3.390132e-005
8.230440587429880e-005	6.035483e-005	-6.035483e-005
8.562357259204799e-005	1.091806e-004	-1.091806e-004
8.965712931117582e-005	2.013159e-004	-2.013159e-004
9.472248052072017e-005	3.801762e-004	-3.801762e-004
1.013235223357166e-004	7.400250e-004	-7.400250e-004
1.103272794233727e-004	1.499990e-003	-1.499990e-003
1.232764295864668e-004	3.211628e-003	-3.211628e-003
1.434816264037668e-004	7.515288e-003	-7.515288e-003
1.789422046851760e-004	2.035258e-002	-2.035258e-002
2.498633612479943e-004	6.609671e-002	-6.609671e-002
3.917056743736311e-004	2.264879e-001	-2.264879e-001
6.295421113416383e-004	6.558560e-001	-6.558560e-001
9.153930019188422e-004	1.410817e+000	-1.410817e+000
1.310847869010963e-003	2.802518e+000	-2.802518e+000
1.783577888038731e-003	4.825921e+000	-4.825921e+000
2.393167298158232e-003	7.730081e+000	-7.730081e+000
3.102459337226671e-003	1.118065e+001	-1.118065e+001
3.479407665020326e-003	1.293303e+001	-1.293303e+001
3.735851944177610e-003	1.402243e+001	-1.402243e+001
4.037412228303765e-003	1.516332e+001	-1.516332e+001
4.368593052298105e-003	1.623034e+001	-1.623034e+001
4.745344639933589e-003	1.713260e+001	-1.713260e+001
5.356061546123548e-003	1.795265e+001	-1.795265e+001
6.328588926020703e-003	1.843233e+001	-1.843233e+001
7.305151426020703e-003	1.852447e+001	-1.852447e+001
8.281713926020704e-003	1.852447e+001	-1.852447e+001
9.258276426020704e-003	1.852447e+001	-1.852447e+001
1.023483892602070e-002	1.855643e+001	-1.855643e+001
1.121140142602070e-002	1.865350e+001	-1.865350e+001
1.122666021508320e-002	1.865686e+001	-1.865686e+001
1.125717779320820e-002	1.866724e+001	-1.866724e+001
1.131821294945820e-002	1.869395e+001	-1.869395e+001
1.144028326195820e-002	1.876823e+001	-1.876823e+001
