time	V(7)	V(8)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.797695920112127e-006	-3.685833e-010	3.685833e-010
3.595391840224254e-006	-2.968447e-010	2.968447e-010
5.393087760336380e-006	2.152157e-010	-2.152157e-010
7.190783680448507e-006	1.167598e-009	-1.167598e-009
8.988479600560633e-006	2.560302e-009	-2.560302e-009
1.078617552067276e-005	4.393328e-009	-4.393328e-009
1.258387144078488e-005	6.666676e-009	-6.666676e-009
2.516675488157082e-005	2.405762e-005	-2.405762e-005
5.033252176314268e-005	3.843821e-002	-3.843821e-002
1.006640555262864e-004	2.866699e-001	-2.866699e-001
2.013271230525738e-004	1.036172e+000	-1.036172e+000
4.026532581051487e-004	2.662925e+000	-2.662925e+000
8.053055282102985e-004	5.827372e+000	-5.827372e+000
1.610610068420598e-003	1.154866e+001	-1.154866e+001
2.553076928979829e-003	1.702473e+001	-1.702473e+001
3.199496648366046e-003	1.975668e+001	-1.975668e+001
3.526660960897959e-003	2.065612e+001	-2.065612e+001
3.781832945767730e-003	2.106385e+001	-2.106385e+001
4.098490506641092e-003	2.127823e+001	-2.127823e+001
4.391322135334842e-003	2.118970e+001	-2.118970e+001
4.782308640591505e-003	2.057960e+001	-2.057960e+001
5.415664476391173e-003	1.853902e+001	-1.853902e+001
6.392226976391173e-003	1.354900e+001	-1.354900e+001
7.368789476391173e-003	7.088487e+000	-7.088487e+000
8.345351976391174e-003	3.626532e+000	-3.626532e+000
9.321914476391174e-003	7.356681e+000	-7.356681e+000
9.443984788891174e-003	8.274497e+000	-8.274497e+000
9.688125413891174e-003	1.004755e+001	-1.004755e+001
1.017640666389117e-002	1.317748e+001	-1.317748e+001
1.115296916389117e-002	1.827196e+001	-1.827196e+001
1.163498528665232e-002	2.009412e+001	-2.009412e+001
1.193592885897274e-002	2.080317e+001	-2.080317e+001
1.220960318539949e-002	2.117103e+001	-2.117103e+001
1.249013397419001e-002	2.130626e+001	-2.130626e+001
1.274633296673817e-002	2.118692e+001	-2.118692e+001
1.315088616702539e-002	2.050272e+001	-2.050272e+001
1.380575835757456e-002	1.831562e+001	-1.831562e+001
1.478232085757456e-002	1.332040e+001	-1.332040e+001
1.550834520745679e-002	8.495398e+000	-8.495398e+000
1.611159284935482e-002	3.909193e+000	-3.909193e+000
1.611814087792896e-002	3.857007e+000	-3.857007e+000
1.613123693507722e-002	3.750951e+000	-3.750951e+000
1.615742904937376e-002	3.538494e+000	-3.538494e+000
1.620981327796684e-002	3.112591e+000	-3.112591e+000
1.631458173515299e-002	2.260314e+000	-2.260314e+000
1.652411864952529e-002	1.305800e+000	-1.305800e+000
1.694319247826990e-002	1.655916e+000	-1.655916e+000
1.694863863086372e-002	1.685225e+000	-1.685225e+000
1.695953093605138e-002	1.773838e+000	-1.773838e+000
1.698131554642669e-002	1.951612e+000	-1.951612e+000
1.702488476717731e-002	2.306978e+000	-2.306978e+000
1.711202320867855e-002	3.015851e+000	-3.015851e+000
1.728630009168102e-002	4.418119e+000	-4.418119e+000
1.763485385768597e-002	7.113493e+000	-7.113493e+000
1.833196138969587e-002	1.194545e+001	-1.194545e+001
1.928757266549238e-002	1.735523e+001	-1.735523e+001
1.989247211957164e-002	1.984552e+001	-1.984552e+001
2.021283452422415e-002	2.069432e+001	-2.069432e+001
2.047277835977253e-002	2.109952e+001	-2.109952e+001
2.074674036431587e-002	2.128107e+001	-2.128107e+001
2.105113866829874e-002	2.119191e+001	-2.119191e+001
2.143783606940413e-002	2.060453e+001	-2.060453e+001
2.206437721628691e-002	1.860939e+001	-1.860939e+001
2.304093971628691e-002	1.365591e+001	-1.365591e+001
2.401750221628691e-002	7.185709e+000	-7.185709e+000
2.499406471628691e-002	3.626582e+000	-3.626582e+000
2.597062721628691e-002	7.226610e+000	-7.226610e+000
2.609269752878691e-002	8.138302e+000	-8.138302e+000
2.633683815378691e-002	9.917814e+000	-9.917814e+000
2.682511940378691e-002	1.306441e+001	-1.306441e+001
2.780168190378691e-002	1.819292e+001	-1.819292e+001
2.829486356976566e-002	2.007302e+001	-2.007302e+001
2.859753396779911e-002	2.079420e+001	-2.079420e+001
2.886998095079816e-002	2.116657e+001	-2.116657e+001
2.914562997175310e-002	2.130519e+001	-2.130519e+001
2.940884757843742e-002	2.118839e+001	-2.118839e+001
2.981080301845416e-002	2.051864e+001	-2.051864e+001
3.046155990673015e-002	1.835992e+001	-1.835992e+001
3.143812240673015e-002	1.338746e+001	-1.338746e+001
3.216324134609544e-002	8.582451e+000	-8.582451e+000
3.276733249336404e-002	3.997642e+000	-3.997642e+000
3.277310562169480e-002	3.951683e+000	-3.951683e+000
3.280774439167934e-002	3.671117e+000	-3.671117e+000
3.285392941832539e-002	3.295984e+000	-3.295984e+000
3.294629947161750e-002	2.544071e+000	-2.544071e+000
3.313103957820172e-002	1.493225e+000	-1.493225e+000
3.350051979137017e-002	8.014334e-001	-8.014334e-001
3.351163868652921e-002	8.433185e-001	-8.433185e-001
3.353387647684727e-002	1.022983e+000	-1.022983e+000
3.357835205748341e-002	1.384278e+000	-1.384278e+000
3.363439059337335e-002	1.840776e+000	-1.840776e+000
3.374646766515322e-002	2.752843e+000	-2.752843e+000
3.397062180871296e-002	4.552007e+000	-4.552007e+000
3.441893009583245e-002	7.950703e+000	-7.950703e+000
3.531554667007142e-002	1.385028e+001	-1.385028e+001
3.625385422041411e-002	1.870596e+001	-1.870596e+001
3.667294695305578e-002	2.020463e+001	-2.020463e+001
3.696427291409364e-002	2.084759e+001	-2.084759e+001
3.724375512043632e-002	2.118846e+001	-2.118846e+001
3.755078313088803e-002	2.128624e+001	-2.128624e+001
3.783268916394058e-002	2.108463e+001	-2.108463e+001
3.829117632834970e-002	2.013390e+001	-2.013390e+001
3.903094905971847e-002	1.732473e+001	-1.732473e+001
4.000751155971847e-002	1.178839e+001	-1.178839e+001
4.098407405971847e-002	4.900060e+000	-4.900060e+000
4.110614437221847e-002	3.945884e+000	-3.945884e+000
4.141132015346847e-002	1.467169e+000	-1.467169e+000
4.153339046596847e-002	7.808546e-001	-7.808546e-001
4.177753109096847e-002	5.230474e-001	-5.230474e-001
4.183856624721847e-002	8.002554e-001	-8.002554e-001
4.196063655971847e-002	1.788139e+000	-1.788139e+000
4.220477718471847e-002	3.756853e+000	-3.756853e+000
4.269305843471847e-002	7.483133e+000	-7.483133e+000
4.366962093471847e-002	1.392088e+001	-1.392088e+001
4.464618343471847e-002	1.893703e+001	-1.893703e+001
4.503168385686611e-002	2.028177e+001	-2.028177e+001
4.531660993642418e-002	2.088375e+001	-2.088375e+001
4.559998949035089e-002	2.119958e+001	-2.119958e+001
4.595239201438277e-002	2.125091e+001	-2.125091e+001
4.627717367509506e-002	2.092295e+001	-2.092295e+001
4.680474732564270e-002	1.958011e+001	-1.958011e+001
4.765155311757714e-002	1.597548e+001	-1.597548e+001
4.844419712932308e-002	1.129185e+001	-1.129185e+001
4.909014108592343e-002	6.637408e+000	-6.637408e+000
4.968886931556286e-002	1.924862e+000	-1.924862e+000
4.969056937372362e-002	1.911099e+000	-1.911099e+000
4.971437018797415e-002	1.716962e+000	-1.716962e+000
4.974157111854619e-002	1.495394e+000	-1.495394e+000
4.979597297969027e-002	1.056825e+000	-1.056825e+000
4.990477670197843e-002	5.133159e-001	-5.133159e-001
5.012238414655475e-002	4.098935e-001	-4.098935e-001
5.012591578553444e-002	4.254382e-001	-4.254382e-001
5.014710561941253e-002	5.930760e-001	-5.930760e-001
5.017535873124999e-002	8.199518e-001	-8.199518e-001
5.023186495492493e-002	1.277886e+000	-1.277886e+000
5.034487740227479e-002	2.197399e+000	-2.197399e+000
5.057090229697451e-002	4.018902e+000	-4.018902e+000
5.102295208637395e-002	7.477519e+000	-7.477519e+000
5.191895453151844e-002	1.347651e+001	-1.347651e+001
5.284941423795456e-002	1.840955e+001	-1.840955e+001
5.331288798844067e-002	2.012406e+001	-2.012406e+001
5.361097804218746e-002	2.081329e+001	-2.081329e+001
5.388641860325637e-002	2.118051e+001	-2.118051e+001
5.414154516883768e-002	2.130399e+001	-2.130399e+001
5.440732923549003e-002	2.118431e+001	-2.118431e+001
5.480833462103524e-002	2.051981e+001	-2.051981e+001
5.545758589996794e-002	1.837143e+001	-1.837143e+001
5.643414839996794e-002	1.329688e+001	-1.329688e+001
5.741071089996794e-002	6.790445e+000	-6.790445e+000
5.753278121246794e-002	5.865328e+000	-5.865328e+000
5.777692183746794e-002	3.918512e+000	-3.918512e+000
5.826520308746794e-002	2.436402e+000	-2.436402e+000
5.924176558746794e-002	6.774619e+000	-6.774619e+000
5.936383589996794e-002	7.663572e+000	-7.663572e+000
5.960797652496794e-002	9.464662e+000	-9.464662e+000
6.009625777496794e-002	1.266793e+001	-1.266793e+001
6.107282027496794e-002	1.791287e+001	-1.791287e+001
6.160459158856733e-002	1.999853e+001	-1.999853e+001
6.191328357133338e-002	2.076245e+001	-2.076245e+001
6.218146034841933e-002	2.115005e+001	-2.115005e+001
6.244014018482462e-002	2.129883e+001	-2.129883e+001
6.272774802377540e-002	2.119331e+001	-2.119331e+001
6.312067057773274e-002	2.057284e+001	-2.057284e+001
6.375710057175804e-002	1.851160e+001	-1.851160e+001
6.473366307175804e-002	1.361676e+001	-1.361676e+001
6.546020983159216e-002	8.849190e+000	-8.849190e+000
6.606708358484344e-002	4.379561e+000	-4.379561e+000
6.667084535638115e-002	2.067098e+000	-2.067098e+000
6.723412083147780e-002	4.010039e+000	-4.010039e+000
6.723841465105566e-002	4.042687e+000	-4.042687e+000
6.726417756852286e-002	4.250622e+000	-4.250622e+000
6.729852812514579e-002	4.527018e+000	-4.527018e+000
6.736722923839164e-002	5.076589e+000	-5.076589e+000
6.750463146488334e-002	6.160089e+000	-6.160089e+000
6.777943591786673e-002	8.244528e+000	-8.244528e+000
6.832904482383351e-002	1.198031e+001	-1.198031e+001
6.930560732383351e-002	1.743549e+001	-1.743549e+001
6.989942703480538e-002	1.986867e+001	-1.986867e+001
7.021799712019035e-002	2.070426e+001	-2.070426e+001
7.047920162403613e-002	2.110744e+001	-2.110744e+001
7.074817216417642e-002	2.128286e+001	-2.128286e+001
7.105167131320871e-002	2.119177e+001	-2.119177e+001
7.143870225465475e-002	2.060263e+001	-2.060263e+001
7.206577355024058e-002	1.860397e+001	-1.860397e+001
7.304233605024058e-002	1.364764e+001	-1.364764e+001
7.401889855024058e-002	7.178187e+000	-7.178187e+000
7.499546105024058e-002	3.626585e+000	-3.626585e+000
7.597202355024058e-002	7.236701e+000	-7.236701e+000
7.609409386274058e-002	8.148875e+000	-8.148875e+000
7.633823448774058e-002	9.927901e+000	-9.927901e+000
7.682651573774058e-002	1.307321e+001	-1.307321e+001
7.780307823774058e-002	1.819907e+001	-1.819907e+001
7.829539191687375e-002	2.007465e+001	-2.007465e+001
7.859792783704334e-002	2.079487e+001	-2.079487e+001
7.887047035625036e-002	2.116690e+001	-2.116690e+001
7.914649930351710e-002	2.130526e+001	-2.130526e+001
7.940917070942181e-002	2.118826e+001	-2.118826e+001
7.981132833188842e-002	2.051739e+001	-2.051739e+001
8.046240559255186e-002	1.835646e+001	-1.835646e+001
8.143896809255186e-002	1.338747e+001	-1.338747e+001
8.215272064633535e-002	8.662800e+000	-8.662800e+000
8.275690518864398e-002	4.082274e+000	-4.082274e+000
8.275958341469436e-002	4.060983e+000	-4.060983e+000
8.276493986679513e-002	4.017704e+000	-4.017704e+000
8.277565277099667e-002	3.931055e+000	-3.931055e+000
8.279707857939975e-002	3.757534e+000	-3.757534e+000
8.283993019620591e-002	3.409714e+000	-3.409714e+000
8.292563342981821e-002	2.712222e+000	-2.712222e+000
8.309703989704281e-002	1.607659e+000	-1.607659e+000
8.343985283149202e-002	3.309354e-001	-3.309354e-001
8.345056573569357e-002	3.580507e-001	-3.580507e-001
8.347199154409664e-002	5.265666e-001	-5.265666e-001
8.351484316090280e-002	8.703152e-001	-8.703152e-001
8.360054639451510e-002	1.565678e+000	-1.565678e+000
8.377195286173970e-002	2.956487e+000	-2.956487e+000
8.411476579618891e-002	5.664372e+000	-5.664372e+000
8.480039166508735e-002	1.063044e+001	-1.063044e+001
8.570819365692430e-002	1.610802e+001	-1.610802e+001
8.646240041643202e-002	1.950887e+001	-1.950887e+001
8.680795012803831e-002	2.054492e+001	-2.054492e+001
8.706557679522270e-002	2.100325e+001	-2.100325e+001
8.736635600406500e-002	2.125162e+001	-2.125162e+001
8.770029148231945e-002	2.119728e+001	-2.119728e+001
8.807601878085404e-002	2.066644e+001	-2.066644e+001
8.868510428778352e-002	1.878805e+001	-1.878805e+001
8.965520136256959e-002	1.396797e+001	-1.396797e+001
9.063176386256959e-002	7.467789e+000	-7.467789e+000
9.160832636256959e-002	3.626532e+000	-3.626532e+000
9.258488886256959e-002	6.845213e+000	-6.845213e+000
9.270695917506959e-002	7.738607e+000	-7.738607e+000
9.295109980006959e-002	9.536354e+000	-9.536354e+000
9.343938105006959e-002	1.273081e+001	-1.273081e+001
9.441594355006959e-002	1.795758e+001	-1.795758e+001
9.494165030135432e-002	2.001039e+001	-2.001039e+001
9.524939020317171e-002	2.076750e+001	-2.076750e+001
9.551824114687862e-002	2.115275e+001	-2.115275e+001
9.577959836168236e-002	2.130009e+001	-2.130009e+001
9.606335873096364e-002	2.119254e+001	-2.119254e+001
