time	V(n004)	V(n005)
0.000000000000000e+000	0.000000e+000	-9.204807e-014
2.857142839778655e-009	3.590391e-006	2.150141e-007
5.714285679557311e-009	7.180783e-006	5.271200e-007
8.571428519335966e-009	1.077117e-005	9.363178e-007
1.142857135911462e-008	1.436157e-005	1.442607e-006
1.428571419889328e-008	1.795196e-005	2.045989e-006
1.714285703867193e-008	2.154235e-005	2.746462e-006
1.999999987845058e-008	2.513274e-005	3.544027e-006
3.999999975690116e-008	5.026548e-005	1.057187e-005
7.999999951380232e-008	1.005309e-004	2.976579e-005
1.599999990276046e-007	2.010618e-004	7.596347e-005
3.199999980552093e-007	4.021228e-004	1.753804e-004
2.737366069205956e-006	3.446167e-003	1.702763e-003
5.154732140356703e-006	6.480061e-003	3.225227e-003
7.572098211507449e-006	9.503804e-003	4.742772e-003
9.989464282658196e-006	1.251740e-002	6.255398e-003
1.240683035380894e-005	1.552084e-002	7.763105e-003
1.482419642495969e-005	1.851413e-002	9.265893e-003
1.724156249611043e-005	2.149727e-002	1.076376e-002
1.884591517468186e-005	2.346369e-002	1.175122e-002
2.045026785325329e-005	2.541860e-002	1.273297e-002
2.205462053182472e-005	2.736200e-002	1.370901e-002
2.365897321039615e-005	2.929389e-002	1.467936e-002
2.526332588896758e-005	3.121428e-002	1.564400e-002
2.686767856753901e-005	3.312315e-002	1.660294e-002
2.847203124611044e-005	3.502051e-002	1.755618e-002
3.133196428182473e-005	3.837383e-002	1.924108e-002
3.419189731753902e-005	4.166719e-002	2.089612e-002
3.705183035325331e-005	4.490058e-002	2.252129e-002
3.991176338896760e-005	4.807401e-002	2.411659e-002
4.277169642468188e-005	5.118748e-002	2.568201e-002
4.563162946039617e-005	5.424098e-002	2.721757e-002
4.849156249611045e-005	5.723452e-002	2.872325e-002
5.442069196039617e-005	6.324876e-002	3.174927e-002
6.034982142468190e-005	6.884139e-002	3.456446e-002
6.627895088896761e-005	7.401241e-002	3.716883e-002
7.220808035325333e-005	7.876180e-002	3.956238e-002
7.813720981753906e-005	8.308958e-002	4.174511e-002
8.406633928182477e-005	8.699574e-002	4.371702e-002
8.999546874611048e-005	9.048028e-002	4.547811e-002
1.019932366032534e-004	9.583325e-002	4.819268e-002
1.139910044603962e-004	9.898134e-002	4.980089e-002
1.259887723175391e-004	9.992454e-002	5.030274e-002
1.379865401746820e-004	9.866287e-002	4.969823e-002
1.499843080318249e-004	9.519631e-002	4.798736e-002
1.619820758889677e-004	8.952487e-002	4.517013e-002
1.739798437461106e-004	8.164855e-002	4.124654e-002
1.790021651746820e-004	7.779924e-002	3.932568e-002
1.840244866032534e-004	7.368424e-002	3.727091e-002
1.890468080318249e-004	6.930354e-002	3.508224e-002
1.940691294603963e-004	6.465716e-002	3.275966e-002
1.990914508889677e-004	5.974508e-002	3.030317e-002
2.041137723175392e-004	5.456731e-002	2.771278e-002
2.091360937461106e-004	4.912384e-002	2.498848e-002
2.110194642818249e-004	4.704582e-002	2.394822e-002
2.129028348175392e-004	4.494442e-002	2.289613e-002
2.147862053532534e-004	4.281966e-002	2.183220e-002
2.166695758889677e-004	4.067152e-002	2.075644e-002
2.185529464246820e-004	3.850002e-002	1.966885e-002
2.204363169603963e-004	3.630514e-002	1.856943e-002
2.223196874961106e-004	3.408690e-002	1.745817e-002
2.249703571389677e-004	3.092817e-002	1.587555e-002
2.276210267818249e-004	2.774405e-002	1.427996e-002
2.302716964246820e-004	2.453453e-002	1.267140e-002
2.329223660675392e-004	2.129961e-002	1.104986e-002
2.355730357103963e-004	1.803930e-002	9.415357e-003
2.382237053532535e-004	1.475359e-002	7.767878e-003
2.408743749961106e-004	1.144248e-002	6.107426e-003
2.421299553532535e-004	9.872696e-003	5.320128e-003
2.433855357103963e-004	8.301433e-003	4.532035e-003
2.446411160675392e-004	6.728691e-003	3.743147e-003
2.458966964246820e-004	5.154471e-003	2.953464e-003
2.471522767818249e-004	3.578771e-003	2.162987e-003
2.484078571389677e-004	2.001593e-003	1.371715e-003
2.496634374961106e-004	4.229356e-004	5.796485e-004
2.523838616032534e-004	-3.005129e-003	-1.140515e-003
2.551042857103963e-004	-6.419754e-003	-2.854179e-003
2.578247098175391e-004	-9.820937e-003	-4.561344e-003
2.605451339246821e-004	-1.320868e-002	-6.262010e-003
2.632655580318249e-004	-1.658298e-002	-7.956177e-003
2.659859821389678e-004	-1.994384e-002	-9.643845e-003
2.687064062461106e-004	-2.329127e-002	-1.132501e-002
2.742867633889678e-004	-3.012541e-002	-1.475816e-002
2.798671205318249e-004	-3.673356e-002	-1.807880e-002
2.854474776746821e-004	-4.311570e-002	-2.128693e-002
2.910278348175392e-004	-4.927185e-002	-2.438255e-002
2.966081919603963e-004	-5.520199e-002	-2.736566e-002
3.021885491032535e-004	-6.090614e-002	-3.023627e-002
3.077689062461106e-004	-6.638429e-002	-3.299437e-002
3.170462499961107e-004	-7.481696e-002	-3.724332e-002
3.263235937461107e-004	-8.203753e-002	-4.088509e-002
3.356009374961107e-004	-8.804597e-002	-4.391968e-002
3.448782812461107e-004	-9.284231e-002	-4.634709e-002
3.541556249961107e-004	-9.642652e-002	-4.816732e-002
3.634329687461107e-004	-9.879862e-002	-4.938037e-002
3.727103124961107e-004	-9.995861e-002	-4.998625e-002
3.822666741032536e-004	-9.944176e-002	-4.975131e-002
3.918230357103964e-004	-9.761421e-002	-4.885755e-002
4.013793973175393e-004	-9.447595e-002	-4.730497e-002
4.109357589246822e-004	-9.002698e-002	-4.509355e-002
4.204921205318250e-004	-8.426731e-002	-4.222331e-002
4.300484821389679e-004	-7.719693e-002	-3.869424e-002
4.396048437461108e-004	-6.881585e-002	-3.450635e-002
4.452549553532536e-004	-6.341889e-002	-3.180738e-002
4.509050669603965e-004	-5.777708e-002	-2.898473e-002
4.565551785675393e-004	-5.189043e-002	-2.603841e-002
4.622052901746822e-004	-4.575892e-002	-2.296840e-002
4.678554017818251e-004	-3.938256e-002	-1.977472e-002
4.735055133889679e-004	-3.276136e-002	-1.645736e-002
4.791556249961108e-004	-2.589531e-002	-1.301632e-002
4.808297321389679e-004	-2.385546e-002	-1.199382e-002
4.825038392818250e-004	-2.180733e-002	-1.096709e-002
4.841779464246821e-004	-1.975092e-002	-9.936121e-003
4.858520535675392e-004	-1.768623e-002	-8.900919e-003
4.875261607103963e-004	-1.561326e-002	-7.861482e-003
4.892002678532534e-004	-1.353201e-002	-6.817810e-003
4.908743749961105e-004	-1.144248e-002	-5.769904e-003
4.913626562461105e-004	-1.083271e-002	-5.464084e-003
4.996634374961096e-004	-4.229356e-004	-2.422247e-004
5.000000000000000e-004	-2.449294e-017	-3.002583e-005
